# Name,Therm,Z,Delta,P,mix
39norm,False,0.12564668835736414,0.00255023003010027,0.4026065149866403,0.2143366327898606
52norm,False,0.05661098588555946,0.0016063100010585982,0.4529866612312774,0.1820305591068431
22norm,False,0.08372921703386194,0.0017214000010832857,0.4320456921062559,0.11859336771529895
27norm,False,0.053935200247688594,0.0013535300000147201,0.44392372000956765,0.19439829268449454
40norm,False,0.11863337410971742,0.0024862700035028907,0.4266632245167797,0.2089807063595147
50norm,False,0.12671614135333442,0.0019025900033283285,0.434573523085917,0.13041486567824084
25norm,False,0.1002846582477841,0.0022931100000203827,0.4151124380884298,0.18066705818066414
36norm,False,0.10859016866227922,0.0022287400002887927,0.4027274101284325,0.16276727113723047
24norm,False,0.08541842789332643,0.0015034500000029904,0.4508287002895219,0.12023473077618906
66norm,False,0.07312964926174681,0.001582170002769136,0.43793699290625737,0.22669824793572413
15norm,False,0.11945705038141163,0.002500100001147791,0.43088510392178825,0.2191197070252563
48norm,False,0.09444088444299004,0.001800950005936232,0.44226478586568063,0.2282213023229478
26norm,False,0.06657652157098973,0.0012893800000719022,0.43957046119537974,0.21039799128527176
67norm,False,0.09433176086584588,0.0016431200003420151,0.42813464940692114,0.1621874170669957
19norm,False,0.13723076019653963,0.0020019038088781188,0.3498375838334813,0.1636095388324904
35norm,False,0.09429696211978689,0.00208821000834584,0.4316939634749358,0.1517517694954722
59norm,False,0.04157306567344765,0.0013528500087635444,0.4516251002668961,0.19188085732349505
14norm,False,0.08737255926705202,0.002262530004375863,0.39841151494126337,0.1979046512403918
45norm,False,0.05350666558353723,0.0013881400069923537,0.4361172432124771,0.12551197489327015
10norm,False,0.11219485049231714,0.00241910000821014,0.4169389647773542,0.14049151776496593
