# Name,Therm,Z,Delta,P,mix
39norm,True,0.10922541409499686,0.0025313199999959547,0.41866156491562817,0.11243506484444013
52norm,True,1.0914059012101518e-05,0.0015711500018780326,0.46459435667932497,0.2485701846620277
22norm,True,0.08879399491908652,0.001798724713997626,0.4357249595923077,0.1346508768106074
27norm,True,0.06325195621422885,0.0013535301013220425,0.44350185402178055,0.2436488830127465
40norm,True,0.07248085385567382,0.0021885099999990527,0.4551239985259207,0.10339894615578789
50norm,True,0.09250583413277802,0.001892959999999993,0.4600068298374875,0.1492413522452771
25norm,True,0.09168886286107614,0.002218628931054328,0.42219687261246724,0.11217300613999374
36norm,True,0.09087888829877633,0.0022221199999993197,0.4186486364926473,0.11550728343052569
24norm,True,0.09598866961458295,0.0016490690726716076,0.4533618761313073,0.24825764405125966
66norm,True,0.05086930481529216,0.0013973863764073966,0.4448022448477091,0.24959222031627304
15norm,True,0.07507919442512066,0.0023020951412300672,0.4608189073697158,0.10417220765628418
48norm,True,0.06226998731238087,0.001780489999999226,0.46312889771099175,0.24952564857285195
26norm,True,0.08800187922008008,0.0014029935530068486,0.43756467385174197,0.24907457608388311
67norm,True,0.07805052675803392,0.0016080593124153826,0.44158560912324946,0.2101149427145782
19norm,True,0.15467256381441574,0.0021147699999994403,0.34337208480320364,0.15135464013616465
35norm,True,0.059786465888257645,0.0020570699999998034,0.45371061528442685,0.1076188327031632
59norm,True,0.0686040697361583,0.0015428982844201081,0.451796307061873,0.16314514658498505
14norm,True,0.07394839137438321,0.002245930246484563,0.41124496075267175,0.24937099955963987
45norm,True,0.0721188033965785,0.001426228306073593,0.43436269344759665,0.24527193128548602
10norm,True,0.07567500138378103,0.002249739999997125,0.44269696247785717,0.24873740354614443
