# Name,Z,Delta,P
10norm,0.4444441720843315,0.002101194673021031,0.7323402818292379
14norm,0.8009715527296066,0.001662650635871443,0.3019346296787262
15norm,0.8445459604263306,0.0019327212252071005,0.22386519610881805
19norm,0.24155797716230154,0.002145137272298662,0.6953633427619934
22norm,1.0,0.0017,0.3
24norm,0.8382696807384491,0.002820781065150578,0.3671098053455353
25norm,1.0,0.0017,0.3
26norm,0.5974125266075134,0.0018355123558884594,0.44978565722703934
27norm,0.1987465564161539,0.001059168896494953,0.4419560953974724
35norm,0.7896436452865601,0.0018587472514975277,0.42256051301956177
36norm,0.5553693026304245,0.001328128539210791,0.5835626721382141
39norm,1.0,0.0017,0.3
40norm,0.4047107696533203,0.0020274803182074074,0.7188292890787125
45norm,0.49457279220223427,0.0026796969363058866,0.5438272133469582
48norm,0.8516351580619812,0.0011584964532366454,0.6028157509863377
50norm,1.0,0.0017,0.3
52norm,0.5162598863244057,0.0021064620856526264,0.7431931644678116
59norm,0.33245813846588135,0.001109441424502886,0.8612879514694214
66norm,1.0,0.0017,0.3
67norm,0.31163375824689865,0.0016940823344211353,0.8304788172245026
