# Name,Z,Delta,P
19,0.2555837854743004,0.0012794609365537465,0.5922434478998184
64,0.3,0.00155,0.35
49,0.4863905608654022,0.0010738275187555267,0.7584140226244926
23,0.9502397924661636,0.0020205420065410326,0.23631522059440613
69,0.11241163313388824,0.001673957252799097,0.7856969051063061
42,0.8012419976294041,0.002791993439516224,0.5404478684067726
77,0.4678884781897068,0.0017917297269668961,0.6974917985498905
55,0.6361186765134335,0.0016432938496059113,0.42535583674907684
48,0.3,0.00155,0.35
29,1.0469443202018738,0.0020214877928611203,0.09694431722164154
12,0.6199202165007591,0.001616072557078724,0.15850315615534782
50,0.945929616689682,0.0015858572150202173,0.7771304473280907
30,0.6427322924137115,0.0014749195393307457,0.3909362703561783
27,0.9867391288280487,0.002548569918592353,0.09793674945831299
25,0.38579078018665314,0.0015249837070212555,0.9172491058707237
15,0.6335316717159003,0.001146755273340328,0.3792511522769928
31,0.5703707151114941,0.002793456801992494,0.6149397399276495
5,0.4143790453672409,0.001512887183297171,0.8812574744224548
72,0.3294564336538315,0.0010064402639674884,0.8242336139082909
8,0.8337221965193748,0.001679865813644617,0.7835123762488365
21,0.3,0.00155,0.35
68,0.5911642760038376,0.0018213359116983257,0.6131595820188522
